,N24,N23,N22,N21,N20,N19,N18,N17,N16,N15,N14,N13,N12,N11,N10,N9,N8,N7,N6,N5,N4,N3,N2,N1,CEN,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,W1,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
N24,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N23,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N22,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N21,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,32,40,43,47,50,55,58,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
N8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,47,62,62,62,62
N7,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,47,62,62,62,62
N6,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,43,43,47,47,47,47,47,47,47,62,62,62,62
N5,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40,40,43,47,47,47,47,47,47,62,62,62,62
N4,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,35,35,40,43,47,47,47,47,47,62,62,62,62
N3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,32,32,35,40,43,47,47,47,47,62,62,62,62
N2,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,28,28,32,35,40,43,47,47,47,62,62,62,62
N1,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,25,25,28,32,35,40,43,47,47,62,62,62,62
CEN,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17,17,25,28,32,35,40,43,47,62,62,62,62
E1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,25,25,28,32,35,40,43,47,47,62,62,62,62
E2,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,43,58,58,58,58,58,58,58,58,58,58,58,58,58,58,28,28,32,35,40,43,47,47,47,62,62,62,62
E3,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,40,55,55,55,55,55,55,55,55,55,55,55,55,55,55,32,32,35,40,43,47,47,47,47,62,62,62,62
E4,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,35,50,50,50,50,50,50,50,50,50,50,50,50,50,50,35,35,40,43,47,47,47,47,47,62,62,62,62
E5,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,32,47,47,47,47,47,47,47,47,47,47,47,47,47,47,40,40,43,47,47,47,47,47,47,62,62,62,62
E6,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,28,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,47,47,47,47,47,47,47,62,62,62,62
E7,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,25,40,40,40,40,40,40,40,40,40,40,40,40,40,40,47,47,47,47,47,47,47,47,47,62,62,62,62
E8,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,47,47,47,47,47,47,47,47,47,62,62,62,62
E9,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,47,47,43,40,35,32,28,25,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,47,47,47,47,47,47,47,47,47,62,62,62,62
E10,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E11,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E12,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E13,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E14,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E15,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E16,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E17,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E18,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E19,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E20,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E21,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E22,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
E23,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,40,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,62,62,62,62,62,62,62,62,62,62,62,62,62
W1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,43,40,35,32,28,25,17,25,28,32,35,40,43,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,17,25,28,32,35,40,43,47,47,62,62,62,62
S1,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,43,40,35,32,28,25,17,25,28,32,35,40,43,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,25,17,17,25,28,32,35,40,43,58,58,58,58
S2,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,43,40,35,32,28,25,28,32,35,40,43,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,28,17,17,17,25,28,32,35,40,55,55,55,55
S3,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,43,40,35,32,28,32,35,40,43,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,32,25,17,17,17,25,28,32,35,50,50,50,50
S4,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,43,40,35,32,35,40,43,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,35,28,25,17,17,17,25,28,32,47,47,47,47
S5,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,43,40,35,40,43,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,40,32,28,25,17,17,17,25,28,43,43,43,43
S6,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,43,40,43,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,43,35,32,28,25,17,17,17,17,32,32,32,32
S7,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,43,47,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,40,35,32,28,25,17,17,17,32,32,32,32
S8,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,62,62,62,62,62,62,62,62,62,62,62,62,62,62,47,43,40,35,32,28,17,17,17,15,15,15,15
S9,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,32,32,15,15,15,15,15
S10,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,32,32,15,15,15,15,15
S11,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,32,32,15,15,15,15,15
S12,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,58,55,50,47,43,32,32,15,15,15,15,15